,WL,power
192,1.3040704000000001e-06,-66.1062645
193,1.3040916e-06,-62.7553761
194,1.3041128e-06,-64.1378111
195,1.304134e-06,-62.8780184
196,1.3041552e-06,-62.0166408
197,1.3041764e-06,-60.2417674
198,1.3041976000000001e-06,-57.6732007
199,1.3042188e-06,-54.2170985
200,1.30424e-06,-50.2268193
201,1.3042612e-06,-44.9514621
202,1.3042824e-06,-41.4029892
203,1.3043036e-06,-39.1640076
204,1.3043248000000001e-06,-38.5922712
205,1.304346e-06,-39.8818237
206,1.3043672e-06,-43.2037483
207,1.3043884e-06,-47.7798398
208,1.3044096e-06,-52.2348722
209,1.3044308e-06,-55.8756056
210,1.3044520000000001e-06,-58.1643464
211,1.3044732e-06,-60.5098826
212,1.3044944e-06,-60.4259782
213,1.3045156e-06,-62.2338641
214,1.3045368e-06,-63.594043
215,1.304558e-06,-62.6370239
216,1.3045792000000001e-06,-63.9504818
217,1.3046004e-06,-64.8657651
218,1.3046216e-06,-63.4776549
219,1.3046428e-06,-63.4006001
220,1.304664e-06,-65.9054028
221,1.3046852e-06,-67.1720512
222,1.3047064000000001e-06,-69.2472544
223,1.3047276e-06,-66.6466778
224,1.3047488e-06,-68.2237717
225,1.30477e-06,-63.0881173
226,1.3047912e-06,-67.2139361
227,1.3048124e-06,-66.8178544
228,1.3048336000000001e-06,-64.7241224
229,1.3048548e-06,-66.8527928
230,1.304876e-06,-65.3507447
231,1.3048972e-06,-66.3175856
232,1.3049184e-06,-66.0304358
233,1.3049396e-06,-63.8577274
234,1.3049608e-06,-69.4683424
235,1.304982e-06,-67.5486672
236,1.3050032e-06,-63.7154083
237,1.3050244e-06,-65.4467846
238,1.3050456e-06,-64.0588796
239,1.3050668e-06,-62.2137501
240,1.305088e-06,-60.7339547
241,1.3051092e-06,-59.0424476
242,1.3051304e-06,-55.9324519
243,1.3051516e-06,-51.7036496
244,1.3051728e-06,-47.4464413
245,1.305194e-06,-42.841537
246,1.3052152e-06,-38.9936334
